names	UNRATE
AHECONS	0.056
AWHMAN	-0.405
AWOTMAN	-0.4
CES0600000006	-0.367
CES1000000006	0.49
CES1000000007	-0.082
CES1000000010	0.482
CES1000000039	0.15
CES1011330001	-0.083
CES2000000006	-0.257
CES2000000007	-0.312
CES3000000006	-0.189
CES3000000010	-0.017
CES3000000039	0.188
CES3133660001	0.086
CES9091000001	0.245
CES9091100001	0.396
CES9091912001	-0.195
CEU0600000007	-0.37
CEU2000000007	-0.234
CEU3200000007	-0.27
CEU5000000001	-0.131
A001RI1A225NBEA	0.195
A001RL1A225NBEA	-0.303
A001RP1A027NBEA	-0.067
A006RE1A156NBEA	-0.345
A006RL1A225NBEA	-0.12
A008RE1A156NBEA	0.003
A008RL1A225NBEA	-0.349
A009RL1A225NBEA	-0.389
A009RS2A224NBEA	-0.034
A011RE1A156NBEA	-0.362
A011RJ2A224NBEA	-0.107
A011RL1A225NBEA	0.087
A014RE1A156NBEA	-0.402
A014RJ2A224NBEA	-0.061
A014RY2A224NBEA	0.012
A015RC1A027NBEA	-0.261
A015RS2A224NBEA	0.078
A019RC1A027NBEA	0.075
A019RE1A156NBEA	-0.004
A019RJ2A224NBEA	0.101
A019RY2A224NBEA	0.021
A020RJ2A224NBEA	0.068
A020RL1A158NBEA	-0.255
A021RL1A158NBEA	-0.185
A021RY2A224NBEA	0.152
A024RL1A225NBEA	-0.574
A030RC1A027NBEA	0.323
A041RE1A156NBEA	-0.382
A043RC1A027NBEA	0.096
A048RC1A027NBEA	-0.037
A048RE1A156NBEA	-0.21
A054RE1A156NBEA	-0.338
A059RC1A027NBEA	-0.107
A067RL1A156NBEA	-0.324
A067RP1A027NBEA	-0.012
A071RC1A027NBEA	0.048
A072RC1A156NBEA	0.132
A107RE1A156NBEA	0.06
A108RC1A027NBEA	-0.318
A108RE1A156NBEA	-0.343
A1100C1A027NBEA	-0.12
A133RA3A086NBEA	0.075
A133RL1A225NBEA	0.15
A136RL1A225NBEA	0.101
A1400C1A027NBEA	-0.022
A1402C1A027NBEA	0.044
A145RC1A027NBEA	-0.028
A1589C1A027NBEA	0.26
A1608C1A027NBEA	0.004
A1610C1A027NBEA	-0.012
A1830C0A144NBEA	-0.127
A1870C1A027NBEA	0.087
A193RL1A225NBEA	-0.238
A194RL1A225NBEA	-0.385
A2009L1A225NBEA	-0.245
A2010C1A027NBEA	-0.173
A2011C1A027NBEA	-0.266
A2033C1A027NBEA	0.026
A2036C1A027NBEA	0.201
A2051C1A027NBEA	0.178
A2071C1A027NBEA	0.024
A2101C1A027NBEA	-0.028
A2105C1A027NBEA	0.021
A2122C1A027NBEA	0.114
A2224C1A027NBEA	-0.165
A253RD3A086NBEA	0.301
A253RE1A156NBEA	0.234
A2641C1A027NBEA	0.053
A264RL1A225NBEA	-0.016
A325RL1A225NBEA	-0.38
A334RL1A225NBEA	-0.29
A334RY2A224NBEA	-0.271
A3402C0A144NBEA	0.087
A341RL1A225NBEA	-0.295
A3474C0A144NBEA	0.204
A349RL1A225NBEA	-0.14
A354RL1A225NBEA	-0.217
A356RL1A225NBEA	-0.18
A357RC1A027NBEA	-0.21
A357RY2A224NBEA	0.005
A365RG3A086NBEA	0.293
A4002E1A156NBEA	-0.013
A001RL1Q225SBEA	0.029
A001RO1Q156NBEA	-0.323
A001RP1Q027SBEA	0.089
A006RJ2Q224SBEA	0.012
A006RL1Q225SBEA	0.127
A007RL1Q225SBEA	0.059
A007RO1Q156NBEA	-0.22
A008RL1Q225SBEA	-0.094
A009RL1Q225SBEA	-0.217
A009RO1Q156NBEA	-0.395
A009RS2Q224SBEA	-0.109
A011RJ2Q224SBEA	-0.075
A011RL1Q225SBEA	0.239
A014RE1Q156NBEA	-0.368
A014RJ2Q224SBEA	-0.073
A014RY2Q224SBEA	0.071
A015RC1Q027SBEA	-0.238
A015RS2Q224SBEA	0.062
A019RJ2Q224SBEA	0.05
A019RY2Q224SBEA	-0.1
A020RJ2Q224SBEA	0.05
A020RL1Q158SBEA	-0.026
A020RO1Q156NBEA	-0.254
A021RL1Q158SBEA	0.098
A021RO1Q156NBEA	-0.183
A021RV1Q225SBEA	-0.051
A021RY2Q224SBEA	-0.112
A023RL1Q225SBEA	0.034
A024RL1Q225SBEA	-0.531
A030RC1Q027SBEA	0.341
A067RL1Q156SBEA	-0.124
A067RO1Q156NBEA	-0.294
A067RP1Q027SBEA	-0.02
A127RC1Q027SBEA	0.141
A133RL1Q225SBEA	0.135
A136RL1Q225SBEA	0.154
A145RC1Q027SBEA	0.025
A190RL1Q225SBEA	-0.018
A190RP1Q027SBEA	0.062
A193RL1Q225SBEA	-0.133
A194RL1Q225SBEA	-0.303
A2009L1Q225SBEA	-0.17
A253RY2Q224SBEA	0.02
A325RL1Q225SBEA	-0.014
A334RL1Q225SBEA	0
A341RL1Q225SBEA	-0.036
A349RL1Q225SBEA	0.064
A354RL1Q225SBEA	0.085
A355RY2Q224SBEA	0.082
A356RL1Q225SBEA	0.026
A357RC1Q027SBEA	-0.169
A357RY2Q224SBEA	0.013
UNRATE	1
FPCPITOTLZGUSA	0.153
FEDFUNDS	0.051
