date	AHECONS	AWHMAN	AWOTMAN	CES0600000006	CES1000000006	CES1000000007	CES1000000010	CES1000000039	CES1011330001	CES2000000006	CES2000000007	CES3000000006	CES3000000010	CES3000000039	CES3133660001	CES9091000001	CES9091100001	CES9091912001	CEU0600000007	CEU2000000007	CEU3200000007	CEU5000000001	A001RI1A225NBEA	A001RL1A225NBEA	A001RP1A027NBEA	A006RE1A156NBEA	A006RL1A225NBEA	A008RE1A156NBEA	A008RL1A225NBEA	A009RL1A225NBEA	A009RS2A224NBEA	A011RE1A156NBEA	A011RJ2A224NBEA	A011RL1A225NBEA	A014RE1A156NBEA	A014RJ2A224NBEA	A014RY2A224NBEA	A015RC1A027NBEA	A015RS2A224NBEA	A019RC1A027NBEA	A019RE1A156NBEA	A019RJ2A224NBEA	A019RY2A224NBEA	A020RJ2A224NBEA	A020RL1A158NBEA	A021RL1A158NBEA	A021RY2A224NBEA	A024RL1A225NBEA	A030RC1A027NBEA	A041RE1A156NBEA	A043RC1A027NBEA	A048RC1A027NBEA	A048RE1A156NBEA	A054RE1A156NBEA	A059RC1A027NBEA	A067RL1A156NBEA	A067RP1A027NBEA	A071RC1A027NBEA	A072RC1A156NBEA	A107RE1A156NBEA	A108RC1A027NBEA	A108RE1A156NBEA	A1100C1A027NBEA	A133RA3A086NBEA	A133RL1A225NBEA	A136RL1A225NBEA	A1400C1A027NBEA	A1402C1A027NBEA	A145RC1A027NBEA	A1589C1A027NBEA	A1608C1A027NBEA	A1610C1A027NBEA	A1830C0A144NBEA	A1870C1A027NBEA	A193RL1A225NBEA	A194RL1A225NBEA	A2009L1A225NBEA	A2010C1A027NBEA	A2011C1A027NBEA	A2033C1A027NBEA	A2036C1A027NBEA	A2051C1A027NBEA	A2071C1A027NBEA	A2101C1A027NBEA	A2105C1A027NBEA	A2122C1A027NBEA	A2224C1A027NBEA	A253RD3A086NBEA	A253RE1A156NBEA	A2641C1A027NBEA	A264RL1A225NBEA	A325RL1A225NBEA	A334RL1A225NBEA	A334RY2A224NBEA	A3402C0A144NBEA	A341RL1A225NBEA	A3474C0A144NBEA	A349RL1A225NBEA	A354RL1A225NBEA	A356RL1A225NBEA	A357RC1A027NBEA	A357RY2A224NBEA	A365RG3A086NBEA	A4002E1A156NBEA	A001RL1Q225SBEA	A001RO1Q156NBEA	A001RP1Q027SBEA	A006RJ2Q224SBEA	A006RL1Q225SBEA	A007RL1Q225SBEA	A007RO1Q156NBEA	A008RL1Q225SBEA	A009RL1Q225SBEA	A009RO1Q156NBEA	A009RS2Q224SBEA	A011RJ2Q224SBEA	A011RL1Q225SBEA	A014RE1Q156NBEA	A014RJ2Q224SBEA	A014RY2Q224SBEA	A015RC1Q027SBEA	A015RS2Q224SBEA	A019RJ2Q224SBEA	A019RY2Q224SBEA	A020RJ2Q224SBEA	A020RL1Q158SBEA	A020RO1Q156NBEA	A021RL1Q158SBEA	A021RO1Q156NBEA	A021RV1Q225SBEA	A021RY2Q224SBEA	A023RL1Q225SBEA	A024RL1Q225SBEA	A030RC1Q027SBEA	A067RL1Q156SBEA	A067RO1Q156NBEA	A067RP1Q027SBEA	A127RC1Q027SBEA	A133RL1Q225SBEA	A136RL1Q225SBEA	A145RC1Q027SBEA	A190RL1Q225SBEA	A190RP1Q027SBEA	A193RL1Q225SBEA	A194RL1Q225SBEA	A2009L1Q225SBEA	A253RY2Q224SBEA	A325RL1Q225SBEA	A334RL1Q225SBEA	A341RL1Q225SBEA	A349RL1Q225SBEA	A354RL1Q225SBEA	A355RY2Q224SBEA	A356RL1Q225SBEA	A357RC1Q027SBEA	A357RY2Q224SBEA	UNRATE	FPCPITOTLZGUSA	FEDFUNDS
1960-02-01	2.62	40.3	2.8	15767	615	41.4	57	7.2	96.5	2718	36.8	12434	3898	24.7	123.2	2334	1748.4	563.3	39.3	35.5	39	1724	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	9.1	5	10.9	0.09	46.7	14	6.4	14.6	17.8	9.7	0.04	0.06	12.9	2.1	0.01	4.48	10.588	0	0.04	1.72	0.03	62.4	16.7	16	7.1	-1.1	-0.58	9	2	0.525	4.7	3.4	5.3	20.333	462.3	122.7	3.504	4.6	5.4	6.9	4.1	6.3	2.07	9.4	4.4	-2	14.6	46.5	5.13	2.5	2.1	-0.66	4.8	1.45797598627786	3.97
1960-03-01	2.68	40	2.7	15531	615	42.6	57	7.3	95.3	2554	36.3	12362	3887	24.7	124.3	2523	1933.5	563.1	39.2	35.3	38.8	1725	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	9.1	5	10.9	0.09	46.7	14	6.4	14.6	17.8	9.7	0.04	0.06	12.9	2.1	0.01	4.48	10.588	0	0.04	1.72	0.03	62.4	16.7	16	7.1	-1.1	-0.58	9	2	0.525	4.7	3.4	5.3	20.333	462.3	122.7	3.504	4.6	5.4	6.9	4.1	6.3	2.07	9.4	4.4	-2	14.6	46.5	5.13	2.5	2.1	-0.66	5.4	1.45797598627786	3.84
1960-04-01	2.6	40	2.3	15599	616	42.9	57	7.2	94.6	2684	38.1	12299	3860	24.7	126.5	2511	1928.5	563.9	39.3	37.6	38.6	1732	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	-2.1	2.1	-1.1	0.09	-32.4	-7.1	1.3	6	4.8	7.7	-0.09	0.08	-28.9	0.6	-0.01	-5.51	2.352	-0.01	-0.05	0.46	-0.02	12	21	3	2.9	-0.1	-0.09	0	2.4	-2.315	2.6	2.4	4.8	18.484	-39.5	-1.2	0.455	3.4	4.9	7.3	7.7	5.4	0.71	5.6	2.1	4.8	-16.7	-19.4	-6.25	5.9	2.72	0.74	5.2	1.45797598627786	3.92
1960-06-01	2.61	39.9	2.4	15383	602	41.8	56	7.2	93.2	2679	37.3	12102	3821	24.7	125	2353	1763.1	567.1	39.9	38.1	39.5	1748	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	-2.1	2.1	-1.1	0.09	-32.4	-7.1	1.3	6	4.8	7.7	-0.09	0.08	-28.9	0.6	-0.01	-5.51	2.352	-0.01	-0.05	0.46	-0.02	12	21	3	2.9	-0.1	-0.09	0	2.4	-2.315	2.6	2.4	4.8	18.484	-39.5	-1.2	0.455	3.4	4.9	7.3	7.7	5.4	0.71	5.6	2.1	4.8	-16.7	-19.4	-6.25	5.9	2.72	0.74	5.4	1.45797598627786	3.32
1960-07-01	2.64	39.9	2.4	15313	581	42.4	55	7.3	92.3	2685	37.7	12047	3810	24.7	134	2346	1755.5	569.9	39.8	38.7	39.6	1740	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	2.1	2.5	3.5	-0.04	-1	-8.3	-1.9	-6.8	0.8	4.8	-0.07	0	-11.4	0.8	-0.01	1.13	3.344	0	-0.01	0.96	0.1	9	12.8	-11.2	-1.1	2	0.53	0.1	2.8	0.314	0.8	2.7	2.3	18.247	19.4	15.5	0.568	0.8	2.6	5.8	0.4	6.2	0.27	-0.1	-0.9	2.1	-6.7	5	0.85	0.6	2.712	0.27	5.5	1.45797598627786	3.23
1960-08-01	2.66	39.7	2.4	15235	590	41.9	55	7.1	89.4	2659	37.2	11986	3799	24.7	133.3	2349	1762.5	570.7	39.7	38.6	39.5	1742	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	2.1	2.5	3.5	-0.04	-1	-8.3	-1.9	-6.8	0.8	4.8	-0.07	0	-11.4	0.8	-0.01	1.13	3.344	0	-0.01	0.96	0.1	9	12.8	-11.2	-1.1	2	0.53	0.1	2.8	0.314	0.8	2.7	2.3	18.247	19.4	15.5	0.568	0.8	2.6	5.8	0.4	6.2	0.27	-0.1	-0.9	2.1	-6.7	5	0.85	0.6	2.712	0.27	5.6	1.45797598627786	2.98
1960-09-01	2.69	39.4	2.3	15185	585	41.5	55	7.2	89.9	2644	37.2	11956	3802	24.8	134.7	2351	1762.3	573.2	39.5	38.2	39.1	1740	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	2.1	2.5	3.5	-0.04	-1	-8.3	-1.9	-6.8	0.8	4.8	-0.07	0	-11.4	0.8	-0.01	1.13	3.344	0	-0.01	0.96	0.1	9	12.8	-11.2	-1.1	2	0.53	0.1	2.8	0.314	0.8	2.7	2.3	18.247	19.4	15.5	0.568	0.8	2.6	5.8	0.4	6.2	0.27	-0.1	-0.9	2.1	-6.7	5	0.85	0.6	2.712	0.27	5.5	1.45797598627786	2.6
1960-10-01	2.7	39.7	2.4	15070	586	41.5	55	7.2	88.2	2638	37.5	11846	3761	24.7	132.8	2351	1759.9	573.2	39.7	38.6	39.1	1728	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	-4.9	0.9	-3.7	-0.1	-37.5	-0.8	-0.9	-1	16.1	9.6	-0.1	0.02	-0.4	-1.1	0	-6.83	-5.564	-0.01	-0.02	0.91	-0.06	2.2	19.3	-17.6	-3.3	-1.1	0.8	-2	3.2	-3.739	-0.2	2	1.6	17.062	-42	-29.4	-0.475	1.7	3.5	5.9	2.2	7.5	0.03	-2.4	1.7	4.7	6.7	-26.4	-4.46	-7.7	-1.252	-2.37	6.1	1.45797598627786	2.47
1960-11-01	2.69	39.3	2.1	14921	576	41.4	54	7.2	85	2619	37.2	11726	3742	24.8	131.7	2340	1756.9	573.8	38.9	36.2	38.8	1713	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	-4.9	0.9	-3.7	-0.1	-37.5	-0.8	-0.9	-1	16.1	9.6	-0.1	0.02	-0.4	-1.1	0	-6.83	-5.564	-0.01	-0.02	0.91	-0.06	2.2	19.3	-17.6	-3.3	-1.1	0.8	-2	3.2	-3.739	-0.2	2	1.6	17.062	-42	-29.4	-0.475	1.7	3.5	5.9	2.2	7.5	0.03	-2.4	1.7	4.7	6.7	-26.4	-4.46	-7.7	-1.252	-2.37	6.1	1.45797598627786	2.44
1960-12-01	2.75	38.4	2	14643	565	40.9	55	7.4	81.4	2522	35.5	11556	3698	24.7	131.6	2403	1762.8	829.9	38.1	34.8	38	1693	1.4	2.6	4	15.9	0.4	10.4	5.5	7.9	0	5	0.04	-6.8	0.6	0	-0.13	2.68	0	4.204	0.8	0.02	0.7	0.07	17.4	1.3	-0.06	2.3	-1.307	9.3	11.204	16.463	3	4	1	2.6	4.3	37.85	10.1	0.2	0.467	0.1	7.564	38.674	11.2	7.8	7.894	6.831	1.013	3.079	0.382	0.293	-148	0.718	7.1	3.3	6.6	5.48	-2.806	-0.001	-0.003	0.577	1.735	0.805	-3.342	-0.472	1.956	27.363	3.8	0.352	5.4	3.9	2.8	0.69	16524	2.5	1181	-1	3.9	3.2	1.569	0.1	69.75	55.4	-4.9	0.9	-3.7	-0.1	-37.5	-0.8	-0.9	-1	16.1	9.6	-0.1	0.02	-0.4	-1.1	0	-6.83	-5.564	-0.01	-0.02	0.91	-0.06	2.2	19.3	-17.6	-3.3	-1.1	0.8	-2	3.2	-3.739	-0.2	2	1.6	17.062	-42	-29.4	-0.475	1.7	3.5	5.9	2.2	7.5	0.03	-2.4	1.7	4.7	6.7	-26.4	-4.46	-7.7	-1.252	-2.37	6.6	1.45797598627786	1.98
