id	title	frequency	units
ADAP1617	Unemployment Rate - Associate Degree - Academic Program, 16 to 17 years	Monthly	Percent
ADAP1617M	Unemployment Rate - Associate Degree - Academic Program, 16 to 17 years, Men	Monthly	Percent
ADAP1617W	Unemployment Rate - Associate Degree - Academic Program, 16 to 17 years, Women	Monthly	Percent
ADAP1619	Unemployment Rate - Associate Degree - Academic Program, 16 to 19 years	Monthly	Percent
ADAP1619M	Unemployment Rate - Associate Degree - Academic Program, 16 to 19 years, Men	Monthly	Percent
ADAP1619W	Unemployment Rate - Associate Degree - Academic Program, 16 to 19 years, Women	Monthly	Percent
ADAP16O	Unemployment Rate - Associate Degree - Academic Program, 16 years and over	Monthly	Percent
ADAP16OM	Unemployment Rate - Associate Degree - Academic Program, 16 years and over, Men	Monthly	Percent
ADAP16OW	Unemployment Rate - Associate Degree - Academic Program, 16 years and over, Women	Monthly	Percent
ADAP1819	Unemployment Rate - Associate Degree - Academic Program, 18 to 19 years	Monthly	Percent
ADAP1819M	Unemployment Rate - Associate Degree - Academic Program, 18 to 19 years, Men	Monthly	Percent
ADAP1819W	Unemployment Rate - Associate Degree - Academic Program, 18 to 19 years, Women	Monthly	Percent
ADAP2024	Unemployment Rate - Associate Degree - Academic Program, 20 to 24 years	Monthly	Percent
ADAP2024M	Unemployment Rate - Associate Degree - Academic Program, 20 to 24 years, Men	Monthly	Percent
ADAP2024W	Unemployment Rate - Associate Degree - Academic Program, 20 to 24 years, Women	Monthly	Percent
ADAP2534	Unemployment Rate - Associate Degree - Academic Program, 25 to 34 years	Monthly	Percent
ADAP2534M	Unemployment Rate - Associate Degree - Academic Program, 25 to 34 years, Men	Monthly	Percent
ADAP2534W	Unemployment Rate - Associate Degree - Academic Program, 25 to 34 years, Women	Monthly	Percent
ADAP2564	Unemployment Rate - Associate Degree - Academic Program, 25 to 64 years	Monthly	Percent
ADAP2564M	Unemployment Rate - Associate Degree - Academic Program, 25 to 64 years, Men	Monthly	Percent
ADAP2564W	Unemployment Rate - Associate Degree - Academic Program, 25 to 64 years, Women	Monthly	Percent
ADAP25O	Unemployment Rate - Associate Degree - Academic Program, 25 years and over	Monthly	Percent
ADAP25OM	Unemployment Rate - Associate Degree - Academic Program, 25 years and over, Men	Monthly	Percent
ADAP25OW	Unemployment Rate - Associate Degree - Academic Program, 25 years and over, Women	Monthly	Percent
ADAP3544	Unemployment Rate - Associate Degree - Academic Program, 35 to 44 years	Monthly	Percent
ADAP3544M	Unemployment Rate - Associate Degree - Academic Program, 35 to 44 years, Men	Monthly	Percent
ADAP3544W	Unemployment Rate - Associate Degree - Academic Program, 35 to 44 years, Women	Monthly	Percent
ADAP4554	Unemployment Rate - Associate Degree - Academic Program, 45 to 54 years	Monthly	Percent
ADAP4554M	Unemployment Rate - Associate Degree - Academic Program, 45 to 54 years, Men	Monthly	Percent
ADAP4554W	Unemployment Rate - Associate Degree - Academic Program, 45 to 54 years, Women	Monthly	Percent
ADAP5564	Unemployment Rate - Associate Degree - Academic Program, 55 to 64 years	Monthly	Percent
ADAP5564M	Unemployment Rate - Associate Degree - Academic Program, 55 to 64 years, Men	Monthly	Percent
ADAP5564W	Unemployment Rate - Associate Degree - Academic Program, 55 to 64 years, Women	Monthly	Percent
ADAP65O	Unemployment Rate - Associate Degree - Academic Program, 65 years and over	Monthly	Percent
ADAP65OM	Unemployment Rate - Associate Degree - Academic Program, 65 years and over, Men	Monthly	Percent
ADAP65OW	Unemployment Rate - Associate Degree - Academic Program, 65 years and over, Women	Monthly	Percent
ADAPL1617	Civilian Labor Force - Associate Degree - Academic Program, 16 to 17 years	Monthly	Thousands of Persons
ADAPL1619	Civilian Labor Force - Associate Degree - Academic Program, 16 to 19 years	Monthly	Thousands of Persons
ADAPL16O	Civilian Labor Force - Associate Degree - Academic Program, 16 years and over	Monthly	Thousands of Persons
ADAPL1819	Civilian Labor Force - Associate Degree - Academic Program, 18 to 19 years	Monthly	Thousands of Persons
ADAPL2024	Civilian Labor Force - Associate Degree - Academic Program, 20 to 24 years	Monthly	Thousands of Persons
ADAPL2534	Civilian Labor Force - Associate Degree - Academic Program, 25 to 34 years	Monthly	Thousands of Persons
ADAPL2564	Civilian Labor Force - Associate Degree - Academic Program, 25 to 64 years	Monthly	Thousands of Persons
ADAPL25O	Civilian Labor Force - Associate Degree - Academic Program, 25 years and over	Monthly	Thousands of Persons
ADAPL3544	Civilian Labor Force - Associate Degree - Academic Program, 35 to 44 years	Monthly	Thousands of Persons
ADAPL4554	Civilian Labor Force - Associate Degree - Academic Program, 45 to 54 years	Monthly	Thousands of Persons
ADAPL5564	Civilian Labor Force - Associate Degree - Academic Program, 55 to 64 years	Monthly	Thousands of Persons
ADAPL65O	Civilian Labor Force - Associate Degree - Academic Program, 65 years and over	Monthly	Thousands of Persons
ADAPLM1617	Civilian Labor Force - Associate Degree - Academic Program, 16 to 17 years, Men	Monthly	Thousands of Persons
ADAPLM1619	Civilian Labor Force - Associate Degree - Academic Program, 16 to 19 years, Men	Monthly	Thousands of Persons
ADAPLM16O	Civilian Labor Force - Associate Degree - Academic Program, 16 years and over, Men	Monthly	Thousands of Persons
ADAPLM1819	Civilian Labor Force - Associate Degree - Academic Program, 18 to 19 years, Men	Monthly	Thousands of Persons
ADAPLM2024	Civilian Labor Force - Associate Degree - Academic Program, 20 to 24 years, Men	Monthly	Thousands of Persons
ADAPLM2534	Civilian Labor Force - Associate Degree - Academic Program, 25 to 34 years, Men	Monthly	Thousands of Persons
ADAPLM2564	Civilian Labor Force - Associate Degree - Academic Program, 25 to 64 years, Men	Monthly	Thousands of Persons
ADAPLM25O	Civilian Labor Force - Associate Degree - Academic Program, 25 years and over, Men	Monthly	Thousands of Persons
ADAPLM3544	Civilian Labor Force - Associate Degree - Academic Program, 35 to 44 years, Men	Monthly	Thousands of Persons
ADAPLM4554	Civilian Labor Force - Associate Degree - Academic Program, 45 to 54 years, Men	Monthly	Thousands of Persons
ADAPLM5564	Civilian Labor Force - Associate Degree - Academic Program, 55 to 64 years, Men	Monthly	Thousands of Persons
ADAPLM65O	Civilian Labor Force - Associate Degree - Academic Program, 65 years and over, Men	Monthly	Thousands of Persons
ADAPLW1617	Civilian Labor Force - Associate Degree - Academic Program, 16 to 17 years, Women	Monthly	Thousands of Persons
ADAPLW1619	Civilian Labor Force - Associate Degree - Academic Program, 16 to 19 years, Women	Monthly	Thousands of Persons
ADAPLW16O	Civilian Labor Force - Associate Degree - Academic Program, 16 years and over, Women	Monthly	Thousands of Persons
ADAPLW1819	Civilian Labor Force - Associate Degree - Academic Program, 18 to 19 years, Women	Monthly	Thousands of Persons
ADAPLW2024	Civilian Labor Force - Associate Degree - Academic Program, 20 to 24 years, Women	Monthly	Thousands of Persons
ADAPLW2534	Civilian Labor Force - Associate Degree - Academic Program, 25 to 34 years, Women	Monthly	Thousands of Persons
ADAPLW2564	Civilian Labor Force - Associate Degree - Academic Program, 25 to 64 years, Women	Monthly	Thousands of Persons
ADAPLW25O	Civilian Labor Force - Associate Degree - Academic Program, 25 years and over, Women	Monthly	Thousands of Persons
ADAPLW3544	Civilian Labor Force - Associate Degree - Academic Program, 35 to 44 years, Women	Monthly	Thousands of Persons
ADAPLW4554	Civilian Labor Force - Associate Degree - Academic Program, 45 to 54 years, Women	Monthly	Thousands of Persons
ADAPLW5564	Civilian Labor Force - Associate Degree - Academic Program, 55 to 64 years, Women	Monthly	Thousands of Persons
ADAPLW65O	Civilian Labor Force - Associate Degree - Academic Program, 65 years and over, Women	Monthly	Thousands of Persons
ADAPU1617	Unemployment Level - Associate Degree - Academic Program, 16 to 17 years	Monthly	Thousands of Persons
ADAPU1619	Unemployment Level - Associate Degree - Academic Program, 16 to 19 years	Monthly	Thousands of Persons
ADAPU16O	Unemployment Level - Associate Degree - Academic Program, 16 years and over	Monthly	Thousands of Persons
ADAPU1819	Unemployment Level - Associate Degree - Academic Program, 18 to 19 years	Monthly	Thousands of Persons
ADAPU2024	Unemployment Level - Associate Degree - Academic Program, 20 to 24 years	Monthly	Thousands of Persons
ADAPU2534	Unemployment Level - Associate Degree - Academic Program, 25 to 34 years	Monthly	Thousands of Persons
ADAPU2564	Unemployment Level - Associate Degree - Academic Program, 25 to 64 years	Monthly	Thousands of Persons
ADAPU25O	Unemployment Level - Associate Degree - Academic Program, 25 years and over	Monthly	Thousands of Persons
