feature	coefficient
CES0600000006	-1.4235916690109065
A048RC1A027NBEA	-0.7984699921913974
CES2000000006	-0.5108045684540269
A054RE1A156NBEA	-0.3930325567817137
A2051C1A027NBEA	0.3841937836635756
A253RE1A156NBEA	0.37825575084252616
A1589C1A027NBEA	0.3438241138961892
CES1000000006	0.29646855228286323
A019RE1A156NBEA	-0.2854525578068282
A2122C1A027NBEA	-0.2616188131394319
A1610C1A027NBEA	0.25438224175760693
A264RL1A225NBEA	-0.24695429846829473
CES3000000039	0.2126248701835543
A127RC1Q027SBEA	0.18558995687212662
A2224C1A027NBEA	-0.17683340513175744
AWOTMAN	-0.15550106840624095
A108RE1A156NBEA	-0.13836397867831032
A008RE1A156NBEA	0.13253181907336645
A011RJ2A224NBEA	0.13018012102727025
A043RC1A027NBEA	-0.12648173893576214
A030RC1A027NBEA	0.10535605161770967
A030RC1Q027SBEA	0.10305480029531892
A001RO1Q156NBEA	-0.09431434244108003
A009RL1A225NBEA	-0.09379966048492432
A014RE1A156NBEA	-0.08709242304930943
A006RL1A225NBEA	0.08473851049271885
A354RL1A225NBEA	0.08411120581783937
A341RL1Q225SBEA	0.07587660739634215
A023RL1Q225SBEA	0.07380291034111983
A193RL1A225NBEA	-0.06883972062595492
CES1000000007	-0.0620343460800824
A024RL1A225NBEA	0.059192418981846746
A133RA3A086NBEA	0.05444064151387296
A020RL1A158NBEA	-0.048402868975372666
A136RL1Q225SBEA	-0.048151113620777404
A041RE1A156NBEA	-0.04558105126281964
A133RL1Q225SBEA	0.04403225811486404
A014RJ2A224NBEA	-0.04222121447039317
CES3133660001	-0.04164154554382876
A067RL1A156NBEA	0.03662282969784837
A009RO1Q156NBEA	-0.036101556827306557
A014RE1Q156NBEA	-0.033575091208845116
A194RL1A225NBEA	-0.03239239716254583
A011RL1A225NBEA	0.03129913760544429
A357RC1Q027SBEA	0.030612258886967992
A354RL1Q225SBEA	0.03060825968953841
A067RL1Q156SBEA	-0.0295487027798925
A365RG3A086NBEA	0.02943296465590486
A071RC1A027NBEA	-0.029042575180882792
A020RO1Q156NBEA	-0.028172179160563363
CEU3200000007	-0.026285022214944987
FEDFUNDS	-0.023494754382254082
A059RC1A027NBEA	0.022823067630606
A3402C0A144NBEA	0.022160833645276955
A194RL1Q225SBEA	0.021987549508693575
A015RS2Q224SBEA	0.02057771888140988
A2036C1A027NBEA	0.01936297832602581
A1830C0A144NBEA	0.017394377641964207
A009RS2Q224SBEA	-0.016597095871841366
A067RO1Q156NBEA	0.01574233215167028
A011RJ2Q224SBEA	0.01441081936783141
A2105C1A027NBEA	-0.014003360682808833
A009RL1Q225SBEA	-0.012506899517138298
A014RY2Q224SBEA	-0.012214912465832338
A357RY2Q224SBEA	-0.010994230833047966
A021RY2Q224SBEA	-0.010562932919540377
A334RL1Q225SBEA	-0.010230531637148647
A145RC1Q027SBEA	0.009135155227789621
A021RV1Q225SBEA	0.007543334616898034
A193RL1Q225SBEA	-0.006038159558808558
A024RL1Q225SBEA	0.005016082015329162
A357RY2A224NBEA	0.004066904802661147
A019RY2A224NBEA	-0.003669346598948922
A2033C1A027NBEA	0.003522648602396387
A020RJ2Q224SBEA	0.0029450905734721426
A007RL1Q225SBEA	0.0017821735019769166
A145RC1A027NBEA	0.001316433761722511
A014RJ2Q224SBEA	3.878814700186033e-4
A015RC1Q027SBEA	-2.2583822695634056e-4
A2101C1A027NBEA	3.1674673810403864e-6
